coords_xyz,name,ULS_v_x_max,ULS_v_y_max,ULS_m_xD+_max,ULS_m_xD-_max,ULS_m_yD+_max,ULS_m_yD-_max,ULS_Mx,ULS_My,SLS_kar_v_x_max,SLS_kar_v_y_max,SLS_kar_m_xD+_max,SLS_kar_m_xD-_max,SLS_kar_m_yD+_max,SLS_kar_m_yD-_max,SLS_kar_Mx,SLS_kar_My,SLS_freq_v_x_max,SLS_freq_v_y_max,SLS_freq_m_xD+_max,SLS_freq_m_xD-_max,SLS_freq_m_yD+_max,SLS_freq_m_yD-_max,SLS_freq_Mx,SLS_freq_My
"('7', '-1.5', '0')",2-1,-409350.4337733381,152244.11621038293,-295233.0551220793,0.0,-78915.35756189567,39206.95488430094,295233.0551220793,39206.95488430094,-372136.7502020595,138403.73900961876,-268393.6808927405,0.0,-71741.23264595556,35642.685485921,268393.6808927405,35642.685485921,-310867.12514307647,110563.13349131389,-224979.45918843773,0.0,-59503.771424681545,26060.39114141,224979.45918843773,26060.39114141
"('8', '-1.5', '0')",2-1,-643666.6276956941,51217.667742669946,-658822.9440373899,0.0,-116099.13691746624,0.0,658822.9440373899,0.0,-585151.4674163314,46561.51512050629,-598929.9367179782,0.0,-105544.66773519662,0.0,598929.9367179782,0.0,-485151.057947133,36439.075477268714,-505031.7939344644,0.0,-88720.90146044445,0.0,505031.7939344644,0.0
"('0', '-2.5', '0')",3-1,388464.0836653263,31585.391356122367,-451367.2326327921,0.0,-97637.24321863565,0.0,451367.2326327921,0.0,353149.1595966641,28713.99153305653,-410333.83934060286,0.0,-88761.12835456948,0.0,410333.83934060286,0.0,294831.9443226412,23288.97410128584,-345238.89658054936,0.0,-74478.90093132046,0.0,345238.89658054936,0.0
"('1', '-2.5', '0')",3-1,277205.2001892034,11281.748029041846,-177363.2658708282,0.0,-40915.54254679896,0.0,177363.2658708282,0.0,252004.72219164675,10256.134350600223,-161239.32925664177,0.0,-37195.946999322776,0.0,161239.32925664177,0.0,210801.316737405,8197.458763010227,-135091.60372776538,0.0,-31228.237043136385,0.0,135091.60372776538,0.0
"('2', '-2.5', '0')",3-1,188998.69024826065,-31006.81358267923,-18955.964383429455,121022.64393479022,-8324.876764782794,64772.855580140655,121022.64393479022,64772.855580140655,171816.98754770198,-28188.011751802605,-17232.694520518184,110020.58307151028,-7568.069623919599,58884.412911839776,110020.58307151028,58884.412911839776,143539.0636960883,-23020.83010788635,-12265.989872709211,90545.7686683349,-6002.055428931246,48003.65941609616,90545.7686683349,48003.65941609616
"('3', '-2.5', '0')",3-1,117867.47634669433,-41690.73620136773,0.0,227520.8549040594,-2923.870677525862,92320.93185778947,227520.8549040594,92320.93185778947,107152.248969576,-37900.66847431695,0.0,206837.1365025704,-2658.064194684248,83928.11809337731,206837.1365025704,83928.11809337731,88742.03695884746,-30988.67656452645,0.0,172606.79954749628,-841.1048570086301,68887.77106504721,172606.79954749628,68887.77106504721
"('4', '-2.5', '0')",3-1,-53736.45355984379,-44692.514859178526,0.0,250893.42438827336,-2339.184308863109,93377.16552929203,250893.42438827336,93377.16552929203,-48851.32035921596,-40629.558106403805,0.0,228084.92650917816,-2126.5311437842324,84888.33049960494,228084.92650917816,84888.33049960494,-39081.01909373197,-33239.3854389823,0.0,190886.92551599536,-113.39326340084132,69689.45539434496,190886.92551599536,69689.45539434496
"('5', '-2.5', '0')",3-1,-116506.8475560878,-41731.90594977955,0.0,225665.01212578607,-2941.350447032979,92920.65351247284,225665.01212578607,92920.65351247284,-105915.31373219812,-37938.095517516485,0.0,205150.00674070764,-2673.954893891751,84473.31958581801,205150.00674070764,84473.31958581801,-87752.34178546829,-31018.333442173494,0.0,171256.9421547517,-853.3640897755864,69324.71045456584,171256.9421547517,69324.71045456584
"('6', '-2.5', '0')",3-1,-186867.54510755543,-30681.13983208337,-18487.23877599282,119663.47683984476,-8333.995876333604,64936.26813207554,119663.47683984476,64936.26813207554,-169879.58291632571,-27891.94471222345,-16806.5803411752,108784.9766483409,-7576.359725149742,59032.96977401525,108784.9766483409,59032.96977401525,-141988.91997912948,-22783.869949549775,-11925.273051557397,89556.85606591067,-6007.983390409608,48122.95610545512,89556.85606591067,48122.95610545512
"('7', '-2.5', '0')",3-1,-275655.5038446415,11448.643702894367,-179855.22984257233,0.0,-41401.16988956499,0.0,179855.22984257233,0.0,-250595.90736348933,10407.85768717764,-163504.7510000347,0.0,-37637.42639226854,0.0,163504.7510000347,0.0,-209674.18197058316,8318.463400246746,-136903.3529884337,0.0,-31580.77394870776,0.0,136903.3529884337,0.0
